class_key,class_id,batch_id,class_date,class_day,topic,instructor,status,notes
1,1,1,2026-08-03,Monday,Introduction to Data Engineering,Bhevendra,Completed,nan
2,2,1,2026-08-07,Friday,Data Engineering Architecture,Bhevendra,Completed,nan
3,3,1,2026-08-10,Monday,nan,nan,Planned,nan
4,4,1,2026-08-14,Friday,nan,nan,Planned,nan
5,5,1,2026-08-17,Monday,nan,nan,Planned,nan
6,6,1,2026-08-21,Friday,nan,nan,Planned,nan
7,7,1,2026-08-24,Monday,nan,nan,Planned,nan
8,8,1,2026-08-28,Friday,nan,nan,Planned,nan
9,9,1,2026-08-31,Monday,nan,nan,Planned,nan
10,10,1,2026-09-04,Friday,nan,nan,Planned,nan
11,11,1,2026-09-07,Monday,nan,nan,Planned,nan
12,12,1,2026-09-11,Friday,nan,nan,Planned,nan
13,13,1,2026-09-14,Monday,nan,nan,Planned,nan
14,14,1,2026-09-18,Friday,nan,nan,Planned,nan
15,15,1,2026-09-21,Monday,nan,nan,Planned,nan
16,16,1,2026-09-25,Friday,nan,nan,Planned,nan
17,17,1,2026-09-28,Monday,nan,nan,Planned,nan
18,18,1,2026-10-02,Friday,nan,nan,Planned,nan
19,19,1,2026-10-05,Monday,nan,nan,Planned,nan
20,20,1,2026-10-09,Friday,nan,nan,Planned,nan
21,21,1,2026-10-12,Monday,nan,nan,Planned,nan
22,22,1,2026-10-16,Friday,nan,nan,Planned,nan
23,23,1,2026-10-19,Monday,nan,nan,Planned,nan
24,24,1,2026-10-23,Friday,nan,nan,Planned,nan
25,25,1,2026-10-26,Monday,nan,nan,Planned,nan
26,26,1,2026-10-30,Friday,nan,nan,Planned,nan
27,27,1,2026-11-02,Monday,nan,nan,Planned,nan
28,28,1,2026-11-06,Friday,nan,nan,Planned,nan
29,29,1,2026-11-09,Monday,nan,nan,Planned,nan
30,30,1,2026-11-13,Friday,nan,nan,Planned,nan
31,31,1,2026-11-16,Monday,nan,nan,Planned,nan
32,32,1,2026-11-20,Friday,nan,nan,Planned,nan
33,33,1,2026-11-23,Monday,nan,nan,Planned,nan
34,34,1,2026-11-27,Friday,nan,nan,Planned,nan
35,35,1,2026-11-30,Monday,nan,nan,Planned,nan
36,36,1,2026-12-04,Friday,nan,nan,Planned,nan
37,37,1,2026-12-07,Monday,nan,nan,Planned,nan
38,38,1,2026-12-11,Friday,nan,nan,Planned,nan
39,39,1,2026-12-14,Monday,nan,nan,Planned,nan
40,40,1,2026-12-18,Friday,nan,nan,Planned,nan
