date_key,date,year,quarter,month,month_name,week_of_year,day,day_name,day_of_week,is_weekend
20200801,2020-08-01,2020,3,8,August,31,1,Saturday,7,true
20200802,2020-08-02,2020,3,8,August,31,2,Sunday,1,true
20200803,2020-08-03,2020,3,8,August,32,3,Monday,2,false
20200804,2020-08-04,2020,3,8,August,32,4,Tuesday,3,false
20200805,2020-08-05,2020,3,8,August,32,5,Wednesday,4,false
20200806,2020-08-06,2020,3,8,August,32,6,Thursday,5,false
20200807,2020-08-07,2020,3,8,August,32,7,Friday,6,false
20200808,2020-08-08,2020,3,8,August,32,8,Saturday,7,true
20200809,2020-08-09,2020,3,8,August,32,9,Sunday,1,true
20200810,2020-08-10,2020,3,8,August,33,10,Monday,2,false
20200811,2020-08-11,2020,3,8,August,33,11,Tuesday,3,false
20200812,2020-08-12,2020,3,8,August,33,12,Wednesday,4,false
20200813,2020-08-13,2020,3,8,August,33,13,Thursday,5,false
20200814,2020-08-14,2020,3,8,August,33,14,Friday,6,false
20200815,2020-08-15,2020,3,8,August,33,15,Saturday,7,true
20200816,2020-08-16,2020,3,8,August,33,16,Sunday,1,true
20200817,2020-08-17,2020,3,8,August,34,17,Monday,2,false
20200818,2020-08-18,2020,3,8,August,34,18,Tuesday,3,false
20200819,2020-08-19,2020,3,8,August,34,19,Wednesday,4,false
20200820,2020-08-20,2020,3,8,August,34,20,Thursday,5,false
20200821,2020-08-21,2020,3,8,August,34,21,Friday,6,false
20200822,2020-08-22,2020,3,8,August,34,22,Saturday,7,true
20200823,2020-08-23,2020,3,8,August,34,23,Sunday,1,true
20200824,2020-08-24,2020,3,8,August,35,24,Monday,2,false
20200825,2020-08-25,2020,3,8,August,35,25,Tuesday,3,false
20200826,2020-08-26,2020,3,8,August,35,26,Wednesday,4,false
20200827,2020-08-27,2020,3,8,August,35,27,Thursday,5,false
20200828,2020-08-28,2020,3,8,August,35,28,Friday,6,false
20200829,2020-08-29,2020,3,8,August,35,29,Saturday,7,true
20200830,2020-08-30,2020,3,8,August,35,30,Sunday,1,true
20200831,2020-08-31,2020,3,8,August,36,31,Monday,2,false
20200901,2020-09-01,2020,3,9,September,36,1,Tuesday,3,false
20200902,2020-09-02,2020,3,9,September,36,2,Wednesday,4,false
20200903,2020-09-03,2020,3,9,September,36,3,Thursday,5,false
20200904,2020-09-04,2020,3,9,September,36,4,Friday,6,false
20200905,2020-09-05,2020,3,9,September,36,5,Saturday,7,true
20200906,2020-09-06,2020,3,9,September,36,6,Sunday,1,true
20200907,2020-09-07,2020,3,9,September,37,7,Monday,2,false
